reference,decision_date,entry_date,organisation_entity,categories,matched_terms,description,source_entity_url,source_dataset,licence,attribution
23/00874/FUL,2023-11-17,2025-05-30,109,solar,solar,Replacement of existing windows & doors. Installation of solar panels to garage roof.,https://www.planning.data.gov.uk/entity/10000000396,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00875/LBC,2023-11-17,2025-05-30,109,solar,solar,Listed Building Consent for replacement of existing windows & doors and installation of solar panels to garage roof.,https://www.planning.data.gov.uk/entity/10000000397,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01036/FUL,2023-09-14,2025-05-30,109,grid_energy,substation,"Alterations to car park to install EV chargers and associated infrastructure to include substation, LV panels, HP cabinets and lighting",https://www.planning.data.gov.uk/entity/10000000467,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01043/FUL,2023-09-15,2025-05-30,109,solar,solar,"Alterations to basement, installation of solar panels and refurbishment of the existing structure over the fire escape stair, railings and rebuilding with associated works.",https://www.planning.data.gov.uk/entity/10000000470,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01044/LBC,2023-09-15,2025-05-30,109,solar,solar,"Alterations to basement, internal alterations, installation of solar panels and refurbishment of the existing structure over the fire escape stair, railings and rebuilding with associated works.",https://www.planning.data.gov.uk/entity/10000000471,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01072/FUL,2023-07-11,2025-05-30,109,battery_storage,battery,Erection of 16MW Battery Storage Facility,https://www.planning.data.gov.uk/entity/10000000483,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01379/FUL,2023-09-04,2025-05-30,109,grid_energy,substation,"Creation of charging zone, erection of EV chargers, erection of canopies, a jet wash bay, sub-station enclosure and associated forecourt works. (Being variation of condition 2 on application 22/01390/FUL granted on: 07/12/2022 to amend the approved site layout to include two substations instead of one)",https://www.planning.data.gov.uk/entity/10000000614,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01421/FULM,2024-03-27,2025-06-21,109,grid_energy,substation,"Erection of a Community Diagnostic Centre and substation, alterations to existing car parking and a new staff car park.",https://www.planning.data.gov.uk/entity/10000000631,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01643/FUL,2024-02-09,2025-06-21,109,grid_energy,substation,"Enlargement of the existing car park, reconfiguration of the building entrance and internal alterations including the introduction of a mid-height floor to the existing sports hall to provide a bowling alley at ground floor with a gym at first floor level, refurbishment to the swimming pool and erection of an associated substation. (AMENDED)",https://www.planning.data.gov.uk/entity/10000000729,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01746/FULM,2024-04-30,2025-06-21,109,battery_storage,battery,Installation of a battery energy facility & association works,https://www.planning.data.gov.uk/entity/10000000773,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01810/FUL,2023-12-14,2025-05-30,109,heat_pump_retrofit,heat pump,Installation of an air source heat pump to rear,https://www.planning.data.gov.uk/entity/10000000800,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01820/FUL,2023-10-24,2025-05-30,109,grid_energy,substation,Erection of an electricity substation and footpath,https://www.planning.data.gov.uk/entity/10000000804,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01941/FULM,2023-11-22,2025-05-30,109,solar,solar,"Installation of solar PV panels to the main roof of medical centre and installation of new cladding to existing brickwork elevations, associated with a wider scheme of external improvement works",https://www.planning.data.gov.uk/entity/10000000857,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/01978/FUL,2024-01-16,2025-06-21,109,heat_pump_retrofit,heat pump,Installation of air source heat pump (RETROSPECTIVE),https://www.planning.data.gov.uk/entity/10000000875,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/02161/FUL,2024-02-28,2025-06-21,109,heat_pump_retrofit,heat pump,Install an MCS compliant Dailkin domestic air source heat pump at the rear of the house.,https://www.planning.data.gov.uk/entity/10000000944,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/02236/FUL,2023-12-06,2025-05-30,109,solar,solar,Amended Description - Erection of two storey side/rear extensions and a ground floor side extension and also formation of rooms in the roofspace. Plus the re-positioning of solar panels to the front roof slope.,https://www.planning.data.gov.uk/entity/10000000970,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/02290/FUL,2024-01-08,2025-06-21,109,ev_charging,electric vehicle,Erection of electric vehicle charging hub and associated infrastructure.,https://www.planning.data.gov.uk/entity/10000000990,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/02302/FUL,2024-03-14,2025-06-21,109,solar;heat_pump_retrofit,solar;heat pump,Installation of solar PV panels to roof and air source heat pumps with associated fenced enclosure,https://www.planning.data.gov.uk/entity/10000000997,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/02482/FULM,2024-10-14,2025-06-21,109,solar;battery_storage;grid_energy,solar;energy storage;substation,"Installation and operation of an Energy Storage System (ESS) including energy storage units and a Solar Farm with associated infrastructure including substation, site access, cable connection, acoustic fencing, security fencing, stock proof fencing, landscaping and other ancillary infrastructure",https://www.planning.data.gov.uk/entity/10000001051,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1821/20,2020-12-14,2025-09-07,26,solar,photovoltaic,"Amendment to approved application AWDM/0676/20, including adjusted house position and altered roof and front dormer design. 4no. photovoltaic panels to roof, 2no. parking spaces and external refuse and cycle stores.",https://www.planning.data.gov.uk/entity/10000001306,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1234/20,2020-10-19,2025-09-07,26,solar,PV,Approval of Details Reserved by Condition 6 (Construction Method Statement) and 9 (PV Panel Details) of previously approved AWDM/0676/20.,https://www.planning.data.gov.uk/entity/10000001307,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/0496/23,2023-06-28,2025-09-07,26,ev_charging,electric vehicle,Approval of Details Reserved by Conditions of AWDM/0608/20: Condition 3 Surface water Drainage; Condition 4 Surface water drainage Management; Condition 5 Floor Levels; Condition 6 Construction Method Statement; Condition 9 Cycle Parking; Condition 11 Electric vehicle charging points; Condition 12 Refuse and Waste; Condition 13 Hard and Soft Landscaping; Condition 14 Boundary treatments; Condition 15 Materials,https://www.planning.data.gov.uk/entity/10000001360,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1284/22,2022-09-06,2025-09-07,26,solar,solar,"Amended resubmission of application AWDM/1800/21 - Remodelling of house comprising, one storey rear extension, rear dormer extension (including solar panels) with rear balcony at second floor; remodelled front entrance porch; formation of terrace to front at second floor, timber cladding and white render to elevations, zinc clad roof.",https://www.planning.data.gov.uk/entity/10000001393,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/0708/23,2023-06-21,2025-09-07,26,solar,PV,Amended resubmission of AWDM/1284/22. Alterations to front (South) elevation including new flat roof to front porch and new window.Replacement of single storey extension rear pitched roof with a flat roof and new roof light. Rear dormer with PV panels. New vertical timber cladding to replace existing first floor cladding.,https://www.planning.data.gov.uk/entity/10000001395,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1800/21,2021-11-30,2025-09-07,26,solar,solar,"Remodelling of house comprising, two storey rear extension, rear dormer extension (including solar panels) with rear terrace at second floor; remodelled front entrance porch; formation of terrace to front at second floor, timber cladding and white render to elevations, zinc clad roof",https://www.planning.data.gov.uk/entity/10000001397,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1001/24,2024-10-02,2025-09-07,26,ev_charging,EV charging,"Approval of Details Reserved by Conditions 3 (Site set up), 5 (Materials), 6 (Drainage), 10 (Cycle Parking) and 11 (EV Charging) of application AWDM/1527/21.",https://www.planning.data.gov.uk/entity/10000001410,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1648/24,2025-01-23,2025-09-07,26,ev_charging,EV charging,"Approval of Details Reserved by Conditions 3 (CMP), 5 (materials), 6 (drainage), 10 (cycle parking) and 11 (EV charging) of approved application AWDM/0166/24.",https://www.planning.data.gov.uk/entity/10000001411,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
AWDM/1000/24,2024-10-02,2025-09-07,26,ev_charging,EV charging,"Approval of Details Reserved by Conditions 3 (Site Set up), 5 (Dust Protection), 6 (Materials), 7 (Drainage), 11 (Cycle Parking) and 12 (EV Charging) of application AWDM/2247/21.",https://www.planning.data.gov.uk/entity/10000001412,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
